delay_ms,timeout_ms,drop_rate,tolerance,raw_accuracy,effective_accuracy,safety_rate,effective_safety_rate,failed_frac,dropped_frac,timed_out_frac
0,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
10,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
20,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
30,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
40,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
50,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
60,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
70,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
80,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
90,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
100,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
110,120,0.05,0.25,0.9777777777777777,0.9311111111111111,0.9666666666666667,0.92,0.04666666666666667,0.04666666666666667,0.0
120,120,0.05,0.25,0.9777777777777777,0.4444444444444444,0.9666666666666667,0.43777777777777777,0.5444444444444444,0.04666666666666667,0.5111111111111111
130,120,0.05,0.25,0.9777777777777777,0.12222222222222222,0.9666666666666667,0.12,0.8733333333333333,0.04666666666666667,0.86
140,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
150,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
160,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
170,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
180,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
190,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
200,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
210,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
220,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
230,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
240,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
250,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
260,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
270,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
280,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
290,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
300,120,0.05,0.25,0.9777777777777777,0.0,0.9666666666666667,0.0,1.0,0.04666666666666667,1.0
